# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.28
4                       0.27
8                       0.29
16                      0.27
32                      0.27
64                      0.29
128                     0.27
256                     0.31
512                     0.31
1024                    0.34
2048                    0.40
4096                    0.77
8192                    1.09
16384                   1.67
32768                   2.74
65536                   4.16
131072                  6.80
262144                 12.78
524288                 25.50
1048576                49.72
2097152               103.35
4194304               248.08
